Sentence,"Aspect Term","True Polarity",Gemini_Polarity
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.","lighted keyboard",positive,Positive
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.","mouse pad",positive,Positive
"Battery life needs more life.","Battery life",negative,Negative
"For some odd reasons the computer doesn't reconize the operation system.","operation system",negative,Negative
"The trackpad was easy to learn and navigate.",trackpad,positive,Positive
"Applications open in seconds and there are no lags, hiccups or awkward moments when you wonder whether your computer is out for tea.",Applications,positive,Positive
"I respond that I do not have the old computer and this way I would lose the data on my hard drive.","hard drive",negative,Neutral
"Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.",Windows,neutral,Negative
"Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.",Warrenty,neutral,Negative
"Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.",agents,negative,Negative
"Even though the computer is larger they did not make the keyboard larger.",keyboard,negative,Negative
"We paid for the three year warranty and the extended warranty after that one ended as well.","three year warranty",neutral,Neutral
"We paid for the three year warranty and the extended warranty after that one ended as well.","extended warranty",neutral,Neutral
"Its not just slow on the internet, its slow in general.",internet,negative,Negative
"It has just enough RAM to run smoothly and enough memory to satisfy my needs.",RAM,positive,Positive
"It has just enough RAM to run smoothly and enough memory to satisfy my needs.",memory,positive,Positive
"I acually believe the issue is with the Nvidia grafics card, but still requires a return.","Nvidia grafics card",negative,Negative
"My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days.",work,negative,Negative
"The resolution is even higher then any other laptop on the market.",resolution,positive,Positive
"Then just the other day, my left "mouse" button snapped!","left "mouse" button",negative,Negative
"It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.",keyboard,positive,Positive
"It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.",feature,positive,Positive
"It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.",type,positive,Positive
"Laptop is advertised as a 15" but the casing looks like that of a 17".",casing,negative,Neutral
"Laptop is advertised as a 15" but the casing looks like that of a 17".","15"",neutral,Neutral
"Laptop is advertised as a 15" but the casing looks like that of a 17".","17"",neutral,Neutral
"The feel of this machine compared to the old MacBook is far superior.",feel,positive,Positive
"In due course, I'll remove the hard disc from this new MacBook Pro and dump it where it belongs - in the trash.","hard disc",negative,Negative
"They break down just as often as PCs do, and the only reason they don't get viruses, is because no one makes viruses for them, they're not better in any way, they are worse, try finding virus protection programs for a Mac, they don't exist.","virus protection programs for a Mac",negative,Negative
"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",Screen,positive,Positive
"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",HDMI,neutral,Positive
"the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.",graphics,negative,Negative
"the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.","wireless switch",negative,Negative
"The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.","build quality",positive,Positive
"I guess he was the technical person.","technical person",neutral,Neutral
"A seventy dollar mouse!",mouse,neutral,Negative
"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.",shipped,negative,Negative
